age,male,qx,lx,dx,L,Tx,ex
32,1,0.001496,97167,145,97094,4470860,46
33,1,0.001528,97021,148,96947,4373766,45.1
34,1,0.001563,96873,151,96797,4276819,44.1
35,1,0.001613,96722,156,96643,4180022,43.2
36,1,0.001682,96565,162,96484,4083378,42.3
37,1,0.001764,96403,170,96318,3986894,41.4
38,1,0.001857,96233,179,96144,3890576,40.4
39,1,0.001964,96054,189,95960,3794432,39.5
40,1,0.002083,95866,200,95766,3698472,38.6
41,1,0.002227,95666,213,95560,3602706,37.7
42,1,0.002414,95453,230,95338,3507147,36.7
43,1,0.002653,95223,253,95096,3411809,35.8
44,1,0.002939,94970,279,94830,3316713,34.9
45,1,0.003243,94691,307,94537,3221882,34
46,1,0.003563,94384,336,94216,3127345,33.1
47,1,0.003922,94047,369,93863,3033129,32.3
48,1,0.00432,93679,405,93476,2939266,31.4
49,1,0.004749,93274,443,93052,2845790,30.5
50,1,0.005193,92831,482,92590,2752738,29.7
51,1,0.005647,92349,522,92088,2660148,28.8
52,1,0.006122,91827,562,91546,2568060,28
53,1,0.00663,91265,605,90963,2476514,27.1
54,1,0.007181,90660,651,90335,2385551,26.3
55,1,0.007779,90009,700,89659,2295216,25.5
56,1,0.008415,89309,752,88933,2205557,24.7
57,1,0.009074,88557,804,88156,2116624,23.9
58,1,0.009727,87754,854,87327,2028469,23.1
59,1,0.010371,86900,901,86450,1941141,22.3
60,1,0.011034,85999,949,85525,1854692,21.6
61,1,0.011738,85050,998,84551,1769167,20.8
62,1,0.012489,84052,1050,83527,1684616,20
63,1,0.013335,83002,1107,82449,1601089,19.3
64,1,0.014319,81895,1173,81309,1518641,18.5
65,1,0.015482,80723,1250,80098,1437332,17.8
66,1,0.016824,79473,1337,78804,1357234,17.1
67,1,0.01833,78136,1432,77420,1278430,16.4
68,1,0.0199,76703,1526,75940,1201010,15.7
69,1,0.021539,75177,1619,74367,1125070,15
70,1,0.023396,73558,1721,72697,1050702,14.3
71,1,0.025476,71837,1830,70922,978005,13.6
72,1,0.027794,70007,1946,69034,907083,13
73,1,0.03035,68061,2066,67028,838049,12.3
74,1,0.033204,65995,2191,64900,771021,11.7
75,1,0.036345,63804,2319,62645,706121,11.1
76,1,0.039788,61485,2446,60262,643477,10.5
77,1,0.04372,59039,2581,57748,583215,9.9
78,1,0.048335,56458,2729,55093,525467,9.3
79,1,0.05365,53729,2883,52287,470374,8.8
80,1,0.059565,50846,3029,49332,418086,8.2
81,1,0.065848,47817,3149,46243,368754,7.7
82,1,0.072956,44669,3259,43039,322511,7.2
83,1,0.080741,41410,3343,39738,279472,6.7
84,1,0.089357,38066,3402,36366,239734,6.3
85,1,0.09965,34665,3454,32938,203368,5.9
86,1,0.110901,31211,3461,29480,170430,5.5
87,1,0.123146,27749,3417,26041,140950,5.1
88,1,0.136412,24332,3319,22672,114910,4.7
89,1,0.15071,21013,3167,19429,92237,4.4
90,1,0.166038,17846,2963,16364,72808,4.1
91,1,0.182374,14883,2714,13526,56443,3.8
92,1,0.199676,12169,2430,10954,42918,3.5
93,1,0.21788,9739,2122,8678,31964,3.3
94,1,0.236903,7617,1804,6715,23286,3.1
95,1,0.256636,5812,1492,5067,16571,2.9
96,1,0.276954,4321,1197,3722,11505,2.7
97,1,0.297713,3124,930,2659,7782,2.5
98,1,0.318755,2194,699,1844,5123,2.3
99,1,0.339914,1495,508,1241,3279,2.2
100,1,1,987,987,2038,2038,2.1
